,Car Name,Price,Year Model,KMS,Fuel Type,City
521,"['Hyundai', 'Eon']","[('2,85,000', ',000')]",2013,"['68,758']",['Petrol'],['Hyderabad']
522,"['Maruti', 'Suzuki']","[('3,90,000', ',000')]",2014,"['50,460']",['Petrol'],['Hyderabad']
523,"['Maruti', 'Suzuki']","[('4,25,000', ',000')]",2016,"['60,330']",['Petrol'],['Hyderabad']
524,"['Kia', 'Seltos']","[('13,45,000', ',000')]",2019,"['56,172']",['Diesel'],['Hyderabad']
525,"['Ford', 'Aspire']","[('5,40,000', ',000')]",2016,"['70,259']",['Diesel'],['Hyderabad']
526,"['Ford', 'Fiesta']","[('3,70,000', ',000')]",2014,"['75,995']",['Diesel'],['Hyderabad']
527,"['Volkswagen', 'Polo']","[('5,40,000', ',000')]",2015,"['76,390']",['Diesel'],['Hyderabad']
528,"['Honda', 'Jazz']","[('6,30,000', ',000')]",2017,"['27,430']",['Petrol'],['Hyderabad']
529,"['Hyundai', 'Creta']","[('10,25,000', ',000')]",2015,"['68,500']",['Diesel'],['Hyderabad']
530,"['Renault', 'Kwid']","[('3,95,000', ',000')]",2018,"['55,929']",['Petrol'],['Hyderabad']
531,"['Maruti', 'Suzuki']","[('8,25,000', ',000')]",2018,"['67,101']",['Diesel'],['Hyderabad']
532,"['Maruti', 'Suzuki']","[('5,80,000', ',000')]",2015,"['87,210']",['Diesel'],['Hyderabad']
533,"['Renault', 'Captur']","[('10,25,000', ',000')]",2018,"['43,400']",['Diesel'],['Hyderabad']
534,"['Audi', 'A4']","[('13,00,000', ',000')]",2011,"['82,838']",['Diesel'],['Hyderabad']
535,"['Tata', 'Tiago']","[('6,32,500', ',500')]",2018,"['29,102']",['Petrol'],['Hyderabad']
536,"['Maruti', 'Suzuki']","[('3,10,500', ',500')]",2009,"['69,298']",['Petrol'],['Hyderabad']
537,"['Maruti', 'Suzuki']","[('8,39,500', ',500')]",2016,"['53,408']",['Petrol'],['Hyderabad']
538,"['Maruti', 'Suzuki']","[('6,10,000', ',000')]",2017,"['61,439']",['Petrol'],['Hyderabad']
539,"['Hyundai', 'Elite']","[('7,00,000', ',000')]",2015,"['76,747']",['Petrol'],['Hyderabad']
540,"['Maruti', 'Suzuki']","[('4,75,000', ',000')]",2017,"['49,608']",['Petrol'],['Hyderabad']
541,"['Maruti', 'Suzuki']","[('3,22,000', ',000')]",2016,"['53,649']",['Petrol'],['Hyderabad']
542,"['Hyundai', 'Elite']","[('7,00,000', ',000')]",2020,"['6,454']",['Petrol'],['Hyderabad']
543,"['Mahindra', 'TUV300']","[('5,90,000', ',000')]",2016,"['47,500']",['Diesel'],['Hyderabad']
544,"['Maruti', 'Suzuki']","[('4,40,000', ',000')]",2015,"['50,258']",['Petrol'],['Hyderabad']
545,"['Maruti', 'Suzuki']","[('3,75,000', ',000')]",2014,"['24,500']",['Petrol'],['Hyderabad']
546,"['Honda', 'Amaze']","[('4,65,000', ',000')]",2015,"['40,000']",['Petrol'],['Hyderabad']
547,"['Mercedes-Benz', 'C-Class']","[('11,30,000', ',000')]",2009,"['53,000']",['Petrol'],['Hyderabad']
548,"['Maruti', 'Suzuki']","[('4,50,000', ',000')]",2017,"['26,351']",['Petrol'],['Hyderabad']
549,"['Maruti', 'Suzuki']","[('7,25,000', ',000')]",2017,"['39,321']",['Petrol'],['Hyderabad']
550,"['Volkswagen', 'Jetta']","[('7,90,000', ',000')]",2013,"['63,593']",['Diesel'],['Hyderabad']
551,"['Ford', 'EcoSport']","[('6,40,000', ',000')]",2014,"['73,370']",['Diesel'],['Hyderabad']
552,"['Hyundai', 'Grand']","[('6,50,000', ',000')]",2018,"['36,100']",['Petrol'],['Hyderabad']
553,"['Hyundai', 'Eon']","[('2,85,000', ',000')]",2013,"['68,758']",['Petrol'],['Hyderabad']
554,"['Maruti', 'Suzuki']","[('3,90,000', ',000')]",2014,"['50,460']",['Petrol'],['Hyderabad']
555,"['Maruti', 'Suzuki']","[('4,25,000', ',000')]",2016,"['60,330']",['Petrol'],['Hyderabad']
556,"['Kia', 'Seltos']","[('13,45,000', ',000')]",2019,"['56,172']",['Diesel'],['Hyderabad']
557,"['Ford', 'Aspire']","[('5,40,000', ',000')]",2016,"['70,259']",['Diesel'],['Hyderabad']
558,"['Ford', 'Fiesta']","[('3,70,000', ',000')]",2014,"['75,995']",['Diesel'],['Hyderabad']
559,"['Volkswagen', 'Polo']","[('5,40,000', ',000')]",2015,"['76,390']",['Diesel'],['Hyderabad']
560,"['Honda', 'Jazz']","[('6,30,000', ',000')]",2017,"['27,430']",['Petrol'],['Hyderabad']
561,"['Hyundai', 'Creta']","[('10,25,000', ',000')]",2015,"['68,500']",['Diesel'],['Hyderabad']
562,"['Renault', 'Kwid']","[('3,95,000', ',000')]",2018,"['55,929']",['Petrol'],['Hyderabad']
563,"['Maruti', 'Suzuki']","[('8,25,000', ',000')]",2018,"['67,101']",['Diesel'],['Hyderabad']
564,"['Maruti', 'Suzuki']","[('5,80,000', ',000')]",2015,"['87,210']",['Diesel'],['Hyderabad']
565,"['Renault', 'Captur']","[('10,25,000', ',000')]",2018,"['43,400']",['Diesel'],['Hyderabad']
566,"['Audi', 'A4']","[('13,00,000', ',000')]",2011,"['82,838']",['Diesel'],['Hyderabad']
567,"['Tata', 'Tiago']","[('6,32,500', ',500')]",2018,"['29,102']",['Petrol'],['Hyderabad']
568,"['Maruti', 'Suzuki']","[('3,10,500', ',500')]",2009,"['69,298']",['Petrol'],['Hyderabad']
569,"['Maruti', 'Suzuki']","[('8,39,500', ',500')]",2016,"['53,408']",['Petrol'],['Hyderabad']
570,"['Maruti', 'Suzuki']","[('6,10,000', ',000')]",2017,"['61,439']",['Petrol'],['Hyderabad']
571,"['Hyundai', 'Elite']","[('7,00,000', ',000')]",2015,"['76,747']",['Petrol'],['Hyderabad']
572,"['Maruti', 'Suzuki']","[('4,75,000', ',000')]",2017,"['49,608']",['Petrol'],['Hyderabad']
573,"['Maruti', 'Suzuki']","[('3,22,000', ',000')]",2016,"['53,649']",['Petrol'],['Hyderabad']
574,"['Honda', 'CR-V']","[('16,50,000', ',000')]",2015,"['52,440']",['Petrol'],['Hyderabad']
575,"['Mercedes-Benz', 'C-Class']","[('11,30,000', ',000')]",2009,"['53,000']",['Petrol'],['Hyderabad']
576,"['Maruti', 'Suzuki']","[('3,50,000', ',000')]",2010,"['08,000']",['Petrol'],['Hyderabad']
577,"['Maruti', 'Suzuki']","[('3,75,000', ',000')]",2014,"['24,500']",['Petrol'],['Hyderabad']
578,"['Porsche', 'Cayenne']","[('16,00,000', ',000')]",2008,"['02,000']",['Petrol'],['Hyderabad']
579,"['Hyundai', 'Venue']","[('11,75,000', ',000')]",2019,"['11,000']",['Petrol'],['Hyderabad']
580,"['Toyota', 'Innova']","[('10,20,000', ',000')]",2016,"['67,000']",['Diesel'],['Hyderabad']
581,"['Skoda', 'Superb']","[('16,95,000', ',000')]",2016,"['75,000']",['Petrol'],['Hyderabad']
582,"['Volkswagen', 'Jetta']","[('7,90,000', ',000')]",2013,"['63,593']",['Diesel'],['Hyderabad']
583,"['Ford', 'EcoSport']","[('6,40,000', ',000')]",2014,"['73,370']",['Diesel'],['Hyderabad']
584,"['Maruti', 'Suzuki']","[('4,25,000', ',000')]",2016,"['60,330']",['Petrol'],['Hyderabad']
585,"['Kia', 'Seltos']","[('13,45,000', ',000')]",2019,"['56,172']",['Diesel'],['Hyderabad']
586,"['Maruti', 'Suzuki']","[('8,25,000', ',000')]",2018,"['67,101']",['Diesel'],['Hyderabad']
587,"['Renault', 'Kwid']","[('3,95,000', ',000')]",2018,"['55,929']",['Petrol'],['Hyderabad']
588,"['Maruti', 'Suzuki']","[('5,80,000', ',000')]",2015,"['87,210']",['Diesel'],['Hyderabad']
589,"['Renault', 'Captur']","[('10,25,000', ',000')]",2018,"['43,400']",['Diesel'],['Hyderabad']
590,"['Honda', 'Jazz']","[('6,30,000', ',000')]",2017,"['27,430']",['Petrol'],['Hyderabad']
591,"['Hyundai', 'Creta']","[('10,25,000', ',000')]",2015,"['68,500']",['Diesel'],['Hyderabad']
592,"['Hyundai', 'Grand']","[('6,50,000', ',000')]",2018,"['36,100']",['Petrol'],['Hyderabad']
593,"['Ford', 'Aspire']","[('5,40,000', ',000')]",2016,"['70,259']",['Diesel'],['Hyderabad']
594,"['Ford', 'Fiesta']","[('3,70,000', ',000')]",2014,"['75,995']",['Diesel'],['Hyderabad']
595,"['Volkswagen', 'Polo']","[('5,40,000', ',000')]",2015,"['76,390']",['Diesel'],['Hyderabad']
596,"['Maruti', 'Suzuki']","[('3,90,000', ',000')]",2014,"['50,460']",['Petrol'],['Hyderabad']
597,"['Hyundai', 'Eon']","[('2,85,000', ',000')]",2013,"['68,758']",['Petrol'],['Hyderabad']
598,"['Audi', 'A4']","[('13,00,000', ',000')]",2011,"['82,838']",['Diesel'],['Hyderabad']
599,"['Tata', 'Tiago']","[('6,32,500', ',500')]",2018,"['29,102']",['Petrol'],['Hyderabad']
600,"['Maruti', 'Suzuki']","[('3,10,500', ',500')]",2009,"['69,298']",['Petrol'],['Hyderabad']
601,"['Hyundai', 'Santro']","[('2,53,000', ',000')]",2008,"['71,954']",['Petrol'],['Hyderabad']
602,"['Maruti', 'Suzuki']","[('8,39,500', ',500')]",2016,"['53,408']",['Petrol'],['Hyderabad']
603,"['Maruti', 'Suzuki']","[('6,10,000', ',000')]",2017,"['61,439']",['Petrol'],['Hyderabad']
604,"['Maruti', 'Suzuki']","[('4,75,000', ',000')]",2017,"['49,608']",['Petrol'],['Hyderabad']
605,"['Hyundai', 'Elite']","[('7,00,000', ',000')]",2015,"['76,747']",['Petrol'],['Hyderabad']
606,"['Hyundai', 'Elite']","[('6,75,000', ',000')]",2016,"['88,110']",['Petrol'],['Hyderabad']
607,"['Maruti', 'Suzuki']","[('9,07,200', ',200')]",2020,"['9,771']",['Petrol'],['Hyderabad']
608,"['Mercedes-Benz', 'E-Class']","[('14,00,000', ',000')]",2011,"['13,294']",['Diesel'],['Hyderabad']
609,"['Mercedes-Benz', 'E-Class']","[('5,20,000', ',000')]",2008,"['95,000']",['Petrol'],['Hyderabad']
610,"['Maruti', 'Suzuki']","[('3,75,000', ',000')]",2014,"['24,500']",['Petrol'],['Hyderabad']
611,"['Hyundai', 'Fluidic']","[('8,30,000', ',000')]",2016,"['17,991']",['Petrol'],['Hyderabad']
612,"['Hyundai', 'Venue']","[('11,75,000', ',000')]",2019,"['11,000']",['Petrol'],['Hyderabad']
613,"['Honda', 'Amaze']","[('6,45,000', ',000')]",2018,"['47,086']",['Petrol'],['Hyderabad']
614,"['Volkswagen', 'Jetta']","[('7,90,000', ',000')]",2013,"['63,593']",['Diesel'],['Hyderabad']
615,"['Ford', 'EcoSport']","[('6,40,000', ',000')]",2014,"['73,370']",['Diesel'],['Hyderabad']
616,"['Maruti', 'Suzuki']","[('4,25,000', ',000')]",2016,"['60,330']",['Petrol'],['Hyderabad']
617,"['Kia', 'Seltos']","[('13,45,000', ',000')]",2019,"['56,172']",['Diesel'],['Hyderabad']
618,"['Maruti', 'Suzuki']","[('8,25,000', ',000')]",2018,"['67,101']",['Diesel'],['Hyderabad']
619,"['Renault', 'Kwid']","[('3,95,000', ',000')]",2018,"['55,929']",['Petrol'],['Hyderabad']
620,"['Maruti', 'Suzuki']","[('5,80,000', ',000')]",2015,"['87,210']",['Diesel'],['Hyderabad']
621,"['Renault', 'Captur']","[('10,25,000', ',000')]",2018,"['43,400']",['Diesel'],['Hyderabad']
622,"['Honda', 'Jazz']","[('6,30,000', ',000')]",2017,"['27,430']",['Petrol'],['Hyderabad']
623,"['Hyundai', 'Creta']","[('10,25,000', ',000')]",2015,"['68,500']",['Diesel'],['Hyderabad']
624,"['Hyundai', 'Grand']","[('6,50,000', ',000')]",2018,"['36,100']",['Petrol'],['Hyderabad']
625,"['Ford', 'Aspire']","[('5,40,000', ',000')]",2016,"['70,259']",['Diesel'],['Hyderabad']
626,"['Ford', 'Fiesta']","[('3,70,000', ',000')]",2014,"['75,995']",['Diesel'],['Hyderabad']
627,"['Volkswagen', 'Polo']","[('5,40,000', ',000')]",2015,"['76,390']",['Diesel'],['Hyderabad']
628,"['Maruti', 'Suzuki']","[('3,90,000', ',000')]",2014,"['50,460']",['Petrol'],['Hyderabad']
629,"['Hyundai', 'Eon']","[('2,85,000', ',000')]",2013,"['68,758']",['Petrol'],['Hyderabad']
630,"['Audi', 'A4']","[('13,00,000', ',000')]",2011,"['82,838']",['Diesel'],['Hyderabad']
631,"['Tata', 'Tiago']","[('6,32,500', ',500')]",2018,"['29,102']",['Petrol'],['Hyderabad']
632,"['Maruti', 'Suzuki']","[('3,10,500', ',500')]",2009,"['69,298']",['Petrol'],['Hyderabad']
633,"['Hyundai', 'Santro']","[('2,53,000', ',000')]",2008,"['71,954']",['Petrol'],['Hyderabad']
634,"['Maruti', 'Suzuki']","[('8,39,500', ',500')]",2016,"['53,408']",['Petrol'],['Hyderabad']
635,"['Maruti', 'Suzuki']","[('6,10,000', ',000')]",2017,"['61,439']",['Petrol'],['Hyderabad']
636,"['Maruti', 'Suzuki']","[('4,75,000', ',000')]",2017,"['49,608']",['Petrol'],['Hyderabad']
637,"['Hyundai', 'Elite']","[('7,00,000', ',000')]",2015,"['76,747']",['Petrol'],['Hyderabad']
638,"['Maruti', 'Suzuki']","[('1,50,000', ',000')]",2008,"['81,000']",['Petrol'],['Hyderabad']
639,"['Hyundai', 'Grand']","[('5,75,000', ',000')]",2015,"['53,470']",['Petrol'],['Hyderabad']
640,"['Toyota', 'Innova']","[('24,00,000', ',000')]",2019,"['50,000']",['Diesel'],['Hyderabad']
641,"['Maruti', 'Suzuki']","[('4,40,000', ',000')]",2015,"['50,258']",['Petrol'],['Hyderabad']
642,"['Audi', 'TT']","[('57,00,000', ',000')]",2019,"['4,000']",['Petrol'],['Hyderabad']
643,"['Toyota', 'Yaris']","[('9,95,000', ',000')]",2018,"['42,444']",['Petrol'],['Hyderabad']
644,"['Mahindra', 'TUV300']","[('5,90,000', ',000')]",2015,[],['Diesel'],['Hyderabad']
645,"['Hyundai', 'Venue']","[('11,75,000', ',000')]",2019,"['11,000']",['Petrol'],['Hyderabad']
646,"['Volkswagen', 'Jetta']","[('7,90,000', ',000')]",2013,"['63,593']",['Diesel'],['Hyderabad']
647,"['Ford', 'EcoSport']","[('6,40,000', ',000')]",2014,"['73,370']",['Diesel'],['Hyderabad']
648,"['Maruti', 'Suzuki']","[('4,25,000', ',000')]",2016,"['60,330']",['Petrol'],['Hyderabad']
649,"['Kia', 'Seltos']","[('13,45,000', ',000')]",2019,"['56,172']",['Diesel'],['Hyderabad']
650,"['Maruti', 'Suzuki']","[('8,25,000', ',000')]",2018,"['67,101']",['Diesel'],['Hyderabad']
651,"['Renault', 'Kwid']","[('3,95,000', ',000')]",2018,"['55,929']",['Petrol'],['Hyderabad']
652,"['Maruti', 'Suzuki']","[('5,80,000', ',000')]",2015,"['87,210']",['Diesel'],['Hyderabad']
653,"['Renault', 'Captur']","[('10,25,000', ',000')]",2018,"['43,400']",['Diesel'],['Hyderabad']
654,"['Honda', 'Jazz']","[('6,30,000', ',000')]",2017,"['27,430']",['Petrol'],['Hyderabad']
655,"['Hyundai', 'Creta']","[('10,25,000', ',000')]",2015,"['68,500']",['Diesel'],['Hyderabad']
656,"['Hyundai', 'Grand']","[('6,50,000', ',000')]",2018,"['36,100']",['Petrol'],['Hyderabad']
657,"['Ford', 'Aspire']","[('5,40,000', ',000')]",2016,"['70,259']",['Diesel'],['Hyderabad']
658,"['Ford', 'Fiesta']","[('3,70,000', ',000')]",2014,"['75,995']",['Diesel'],['Hyderabad']
659,"['Volkswagen', 'Polo']","[('5,40,000', ',000')]",2015,"['76,390']",['Diesel'],['Hyderabad']
660,"['Maruti', 'Suzuki']","[('3,90,000', ',000')]",2014,"['50,460']",['Petrol'],['Hyderabad']
661,"['Hyundai', 'Eon']","[('2,85,000', ',000')]",2013,"['68,758']",['Petrol'],['Hyderabad']
662,"['Audi', 'A4']","[('13,00,000', ',000')]",2011,"['82,838']",['Diesel'],['Hyderabad']
663,"['Tata', 'Tiago']","[('6,32,500', ',500')]",2018,"['29,102']",['Petrol'],['Hyderabad']
664,"['Maruti', 'Suzuki']","[('3,10,500', ',500')]",2009,"['69,298']",['Petrol'],['Hyderabad']
665,"['Hyundai', 'Santro']","[('2,53,000', ',000')]",2008,"['71,954']",['Petrol'],['Hyderabad']
666,"['Maruti', 'Suzuki']","[('8,39,500', ',500')]",2016,"['53,408']",['Petrol'],['Hyderabad']
667,"['Maruti', 'Suzuki']","[('6,10,000', ',000')]",2017,"['61,439']",['Petrol'],['Hyderabad']
668,"['Maruti', 'Suzuki']","[('4,75,000', ',000')]",2017,"['49,608']",['Petrol'],['Hyderabad']
669,"['Hyundai', 'Elite']","[('7,00,000', ',000')]",2015,"['76,747']",['Petrol'],['Hyderabad']
670,"['Hyundai', 'Grand']","[('5,75,000', ',000')]",2015,"['53,470']",['Petrol'],['Hyderabad']
671,"['Porsche', 'Cayenne']","[('16,00,000', ',000')]",2008,"['02,000']",['Petrol'],['Hyderabad']
672,"['Maruti', 'Suzuki']","[('4,95,000', ',000')]",2016,"['37,919']",['Petrol'],['Hyderabad']
673,"['Hyundai', 'Grand']","[('6,50,000', ',000')]",2018,"['36,100']",['Petrol'],['Hyderabad']
674,"['Hyundai', 'Elite']","[('6,75,000', ',000')]",2016,"['88,110']",['Petrol'],['Hyderabad']
675,"['Ford', 'EcoSport']","[('9,75,000', ',000')]",2018,"['47,500']",['Petrol'],['Hyderabad']
676,"['Maruti', 'Suzuki']","[('9,07,200', ',200')]",2020,"['9,771']",['Petrol'],['Hyderabad']
677,"['Maruti', 'Suzuki']","[('1,50,000', ',000')]",2008,"['81,000']",['Petrol'],['Hyderabad']
678,"['Volkswagen', 'Jetta']","[('7,90,000', ',000')]",2013,"['63,593']",['Diesel'],['Hyderabad']
679,"['Ford', 'EcoSport']","[('6,40,000', ',000')]",2014,"['73,370']",['Diesel'],['Hyderabad']
680,"['Ford', 'Aspire']","[('5,40,000', ',000')]",2016,"['70,259']",['Diesel'],['Hyderabad']
681,"['Ford', 'Fiesta']","[('3,70,000', ',000')]",2014,"['75,995']",['Diesel'],['Hyderabad']
682,"['Volkswagen', 'Polo']","[('5,40,000', ',000')]",2015,"['76,390']",['Diesel'],['Hyderabad']
683,"['Honda', 'Jazz']","[('6,30,000', ',000')]",2017,"['27,430']",['Petrol'],['Hyderabad']
684,"['Hyundai', 'Creta']","[('10,25,000', ',000')]",2015,"['68,500']",['Diesel'],['Hyderabad']
685,"['Maruti', 'Suzuki']","[('4,25,000', ',000')]",2016,"['60,330']",['Petrol'],['Hyderabad']
686,"['Kia', 'Seltos']","[('13,45,000', ',000')]",2019,"['56,172']",['Diesel'],['Hyderabad']
687,"['Maruti', 'Suzuki']","[('3,90,000', ',000')]",2014,"['50,460']",['Petrol'],['Hyderabad']
688,"['Hyundai', 'Eon']","[('2,85,000', ',000')]",2013,"['68,758']",['Petrol'],['Hyderabad']
689,"['Maruti', 'Suzuki']","[('8,25,000', ',000')]",2018,"['67,101']",['Diesel'],['Hyderabad']
690,"['Maruti', 'Suzuki']","[('5,80,000', ',000')]",2015,"['87,210']",['Diesel'],['Hyderabad']
691,"['Renault', 'Kwid']","[('3,95,000', ',000')]",2018,"['55,929']",['Petrol'],['Hyderabad']
692,"['Renault', 'Captur']","[('10,25,000', ',000')]",2018,"['43,400']",['Diesel'],['Hyderabad']
693,"['Audi', 'A4']","[('13,00,000', ',000')]",2011,"['82,838']",['Diesel'],['Hyderabad']
694,"['Tata', 'Tiago']","[('6,32,500', ',500')]",2018,"['29,102']",['Petrol'],['Hyderabad']
695,"['Maruti', 'Suzuki']","[('3,10,500', ',500')]",2009,"['69,298']",['Petrol'],['Hyderabad']
696,"['Hyundai', 'Santro']","[('2,53,000', ',000')]",2008,"['71,954']",['Petrol'],['Hyderabad']
697,"['Maruti', 'Suzuki']","[('8,39,500', ',500')]",2016,"['53,408']",['Petrol'],['Hyderabad']
698,"['Maruti', 'Suzuki']","[('6,10,000', ',000')]",2017,"['61,439']",['Petrol'],['Hyderabad']
699,"['Hyundai', 'Elite']","[('7,00,000', ',000')]",2015,"['76,747']",['Petrol'],['Hyderabad']
700,"['Maruti', 'Suzuki']","[('4,75,000', ',000')]",2017,"['49,608']",['Petrol'],['Hyderabad']
701,"['Honda', 'CR-V']","[('17,50,000', ',000')]",2015,"['31,000']",['Petrol'],['Hyderabad']
